나이,연봉,재산,예금,자동차배기량,자녀수,신청금액,신청기간월,학력점수,결혼점수,회사규모점수,대출분류점수,승인여부
24,148920489,341363648,28571685,1600,2,150018192,12,3,5,5,5,0
58,90330376,350379333,172403727,2000,1,182535666,120,6,5,5,6,1
28,148029946,363335234,79787554,2000,1,177821908,24,6,7,7,7,1
42,142069534,471301350,33854335,1600,2,102854718,60,3,7,3,6,1
30,78865782,416095576,102133880,2500,4,123370762,12,6,7,9,5,1
60,45803839,311695193,83333609,0,0,136197728,84,3,5,3,5,0
39,41435020,332857717,43832310,0,1,164726215,60,6,7,10,5,1
25,51198617,106870131,144150443,2000,3,104007952,48,6,7,5,5,0
46,112317243,328659412,126257862,0,0,26820503,36,8,5,3,5,1
35,55483499,212339506,19932322,0,2,80133838,60,3,5,5,7,0
30,64385285,76480935,185077342,3000,1,145439405,84,10,4,5,7,1
47,78341244,403201409,111693993,2000,1,126640794,48,6,7,7,7,1
23,138720248,255123549,50040897,1600,0,151930901,48,6,4,5,5,1
41,44621144,488712520,41258363,2000,0,102490978,120,6,7,7,5,1
49,20653451,140839677,27189596,1000,1,39008930,48,6,5,7,4,0
28,27812533,240335056,84927481,3500,1,27465470,84,3,7,5,5,1
65,137619624,223997727,27108202,0,1,98846078,24,8,5,5,5,1
29,104177140,60389761,83163282,2000,0,45116343,84,10,7,3,4,1
56,55495280,213057639,29754085,2000,1,196542043,24,2,7,5,6,0
35,43035025,143776728,131361504,1600,4,43756829,60,8,7,5,7,0
38,58254675,80160235,157048404,2000,1,115522937,48,6,7,4,8,0
57,34923600,141077792,109904549,3000,1,5344747,60,6,5,2,5,0
61,142399278,116625845,136011374,2000,0,54460791,12,8,5,5,4,1
25,121946802,367036765,187675747,1000,1,55532005,60,8,7,7,7,1
23,80110852,15387589,127674305,1600,2,148907549,36,6,4,5,7,0
27,132445138,308731373,72831639,3000,1,101647097,48,10,7,3,5,1
63,52429566,380330671,89896031,1600,2,7357910,60,6,7,2,4,0
25,113225673,240361728,172105045,2000,1,78938333,24,6,5,5,5,1
50,131297224,465782490,26144063,1600,0,130732313,36,2,7,3,8,1
39,66379932,353940347,65147404,0,0,129157856,60,10,7,5,4,1
47,118470377,373961825,115456013,0,2,15508299,60,8,7,10,4,1
65,58359405,98466743,135277913,3500,1,186138021,120,6,7,9,5,1
55,58851427,388647787,152699815,2000,2,53163258,60,6,7,7,8,1
31,33917433,416047368,63641359,0,1,178847592,84,3,7,10,8,0
57,77207546,180633194,29171826,2500,0,46615816,84,8,5,2,6,0
35,114862547,106681534,190967841,1600,2,115730805,84,6,5,5,5,1
52,142228704,192525339,15278443,2000,1,84185660,24,6,5,10,4,1
36,98493608,369803984,19161071,0,2,118363110,60,6,5,5,7,1
29,132207619,208819502,98988508,3000,1,102083248,84,6,4,5,6,1
35,126924304,368325937,163854205,1600,3,5399225,12,6,7,10,5,1
44,42534596,56782270,154900821,2000,4,73509813,12,10,7,5,7,0
61,83156265,403005855,187539853,0,2,7187345,12,3,4,4,6,1
42,35200059,126603740,28320515,1000,2,138256474,60,8,4,9,7,0
37,108679911,124464493,75145451,0,2,171431682,36,6,7,5,7,1
39,143486956,295190482,56428425,3000,1,80019320,120,8,4,5,5,1
45,37821629,35059022,172174024,0,3,107336397,120,10,5,4,7,1
47,115404807,13148863,97670924,2000,1,17838282,24,6,4,10,8,1
46,102190959,130514332,5369586,0,0,80113494,12,3,5,5,4,0
62,95868654,269033775,141592881,0,3,32077779,12,6,7,4,7,1
50,70715630,453808193,77739619,1000,2,17616858,84,6,5,3,8,1
36,66167114,423217588,106229352,2000,1,38546463,36,8,4,5,4,1
22,25882394,245223229,178757485,2000,3,174814568,12,3,5,10,8,0
46,48328132,18525996,51347554,3500,3,196529858,24,3,7,10,5,0
28,21972994,267626367,48052935,3000,0,176446755,36,8,7,5,4,0
30,95584223,352397799,52638500,0,2,194085741,48,6,7,5,5,1
45,33760920,169582266,67621598,2500,1,147507326,24,6,7,5,5,0
22,133492521,55531651,21470794,1600,2,36142572,24,6,7,3,5,0
65,88008592,139283976,139443932,2500,0,114818238,60,8,7,9,5,1
29,110959688,385794432,41479743,0,0,147661233,48,3,5,2,8,1
45,73411421,175621916,185229149,2500,0,105125244,48,6,7,3,5,1
32,92875375,405990745,43137262,0,0,113160110,120,8,7,5,8,1
38,142545693,159760725,51128405,1000,0,119307068,36,6,4,10,6,1
29,30755425,81777519,59404045,0,1,96035055,12,8,7,5,7,0
56,53011910,217924179,153707619,0,2,61664750,48,8,5,5,6,1
56,121398482,226137256,85521297,1600,0,129219902,36,8,7,2,6,1
54,32835836,8054109,163866924,2500,1,15434137,48,8,7,10,6,1
26,29835943,58522536,156970742,2000,1,38330813,84,8,5,3,6,0
63,67000381,92463009,185898084,0,2,185425999,24,8,7,2,5,0
60,31981834,56793658,151320831,0,0,100319169,84,8,5,3,5,0
62,96060197,170763037,10382233,1000,0,165228343,48,6,7,3,7,0
49,49415782,482311427,167456254,2500,1,146675434,12,6,7,7,5,1
28,136440735,254611269,187614519,0,2,67538265,36,6,5,10,8,1
30,121855010,313778011,198737838,1600,0,161711567,12,6,4,7,5,1
29,110961676,178193239,25053518,0,0,22807875,60,6,5,3,5,1
33,100202723,161743880,122654653,1600,2,175620759,12,6,5,10,7,1
55,132250544,11573385,39891733,0,1,137709200,12,2,4,7,8,0
54,48998068,250166827,52501928,0,4,185779101,36,2,5,5,5,0
44,133504149,241804503,149116867,0,3,179624528,84,8,5,5,5,1
45,122633998,78915363,195533543,0,0,79151096,24,2,5,5,5,1
58,117260907,382162000,118971100,0,2,172082341,84,2,7,2,4,1
56,92963238,246337165,170116893,2000,0,114788134,48,10,7,10,6,1
65,52011740,169496985,1776760,0,0,35637291,48,3,7,5,5,0
61,75061229,73454454,7326327,0,3,166762418,120,6,5,5,8,0
43,123164185,276080413,119344867,0,1,182044352,36,6,5,7,7,1
48,24131202,376408513,77796620,2500,0,21486705,36,3,7,5,7,1
56,121666600,140999676,177951562,2000,4,186457804,84,8,5,4,4,1
22,51209196,109397175,60396382,2000,0,122246657,120,3,7,4,8,0
56,38760196,260967482,86410205,1000,1,10049996,24,6,7,10,8,1
58,35041171,77671651,105581839,0,0,110649953,24,3,4,3,5,0
35,23542501,333306693,54607766,0,1,160366061,60,6,5,9,5,1
24,88066243,302671813,181698973,1600,1,108970382,48,6,7,10,8,1
22,48373783,43541024,92906716,1600,2,142913019,48,8,7,5,5,0
26,148626129,18260189,84831121,2500,4,176518632,120,6,7,5,7,1
47,94676778,310144326,169950609,2500,1,174603494,60,6,4,10,6,1
35,37925085,147146886,62395680,1600,0,39879633,36,8,4,5,7,0
60,109539130,43222876,163493068,1600,3,88290354,120,8,7,7,5,1
48,136706663,379714352,24454570,0,2,26677187,48,6,5,9,8,1
30,116873334,157022001,36557706,0,1,121044074,12,3,7,5,5,1
36,29937181,229799774,190168333,3000,0,191171716,36,3,5,2,5,0
36,136464943,118406463,168489498,0,0,40460159,120,8,7,10,5,1
47,123210820,313658539,77579780,3500,1,83707920,36,6,5,10,8,1
63,40579507,150744207,127691289,1600,1,191035225,24,3,7,5,6,0
34,26732165,484010480,188594037,1600,0,151273054,84,6,4,9,6,1
53,92450374,351473774,42371780,0,0,18878048,120,8,5,5,8,1
60,40284655,68361138,11802094,2000,0,88541035,60,6,7,3,6,0
53,128496823,208347419,107493612,1600,0,197637715,84,6,5,5,5,1
25,66583505,192710549,28519375,1000,0,93382306,84,6,5,10,7,1
51,138676017,267123555,37463818,0,1,127733274,36,3,5,4,6,1
58,93539462,420965337,178307837,0,2,141690456,24,6,5,4,5,1
44,43747409,291711007,1480691,1600,2,134466621,12,6,5,10,5,0
60,38147852,30778338,163364005,1000,2,106150099,12,6,7,7,4,0
36,94941416,327707848,103390155,2000,0,30895159,48,10,7,5,5,1
64,119044869,4132648,111858877,2000,0,143140897,60,6,5,5,4,1
50,121595734,389980230,134353592,1000,1,186998935,60,8,4,3,6,1
57,55848462,333318036,86288998,2000,1,188630846,24,6,7,5,4,0
34,46552078,154392829,23122377,0,3,120710934,48,6,7,4,5,0
53,22178319,146220902,20564044,2000,0,100978510,84,6,7,3,5,0
28,108295889,399136498,150872439,0,2,70122414,60,8,5,4,6,1
43,29953873,391668345,44207028,0,1,25195952,48,6,7,5,5,1
49,74698956,176151177,5620336,0,2,177207975,24,6,4,3,7,0
23,98218681,149473864,195922777,2000,1,31725417,48,8,5,4,5,1
63,141824162,279912394,196078303,0,2,61149417,120,2,7,3,8,1
27,60534277,4182829,75628267,0,1,149377701,36,6,5,4,8,0
49,52470381,41333518,5104768,1000,1,142428918,36,3,7,7,5,0
49,105040820,63084795,145452931,0,4,137797487,36,6,5,5,5,1
65,100501074,92705908,166202412,2000,1,149632864,36,8,7,5,5,0
65,63174271,256009063,25002738,1600,2,110685595,12,6,7,10,7,0
41,140653238,496120957,27091722,3000,0,35215440,84,6,5,4,7,1
51,129832102,326306700,164444799,0,0,199679812,12,6,5,5,5,1
32,49117730,30649397,184381477,0,1,178967219,60,6,4,5,5,0
49,51088530,262789687,158150967,2000,1,89074688,12,3,7,5,7,0
46,86599045,248322606,40148989,2000,2,108413591,84,6,7,5,7,1
60,120564373,72083907,82304243,0,0,81742435,120,6,7,10,5,1
54,25725249,460136184,120168485,1600,2,129405744,48,6,4,10,7,1
22,110133569,220382623,32058694,2000,0,147572307,48,6,5,4,5,1
48,104270666,497279570,42120498,0,4,50154823,12,8,4,7,5,1
34,50092412,210036147,56577214,2000,0,89395324,48,3,5,10,8,0
62,108575891,303978851,101902654,0,0,129845783,84,6,5,5,4,1
24,142223814,52381268,102160977,3000,0,197663845,60,6,7,7,5,1
60,26082159,227113911,162858903,1600,3,68350456,24,8,4,10,5,0
27,61554767,119382947,150602040,0,1,150275087,12,8,5,5,5,0
29,76962973,417782399,182747135,1600,1,72600993,36,8,7,10,5,1
48,136903846,391959792,166580344,3500,1,23006251,48,6,7,10,6,1
30,145093988,412089999,50775509,2000,3,155178434,48,6,5,3,7,1
58,77734982,361804718,66259353,1000,0,131614842,24,8,4,5,5,0
54,117503693,416341611,100084648,1600,0,105296244,60,3,7,5,5,1
63,89115933,100414375,2854226,1600,1,136631998,120,6,7,7,4,0
65,89911781,226021888,180780401,0,1,176463510,48,8,7,9,4,1
45,56152936,345923439,8868842,0,0,152519567,36,6,7,3,5,0
36,48204311,318696248,64488254,1600,1,172274397,24,6,7,5,5,0
53,57440694,358177241,113834958,1600,1,61553673,120,8,7,7,4,1
53,92322640,112129191,103568277,0,2,161094285,48,3,7,10,6,1
45,23790174,49217354,130891978,2000,4,75201822,84,6,5,3,4,0
62,137942362,458403289,105504035,1600,1,9027111,84,6,7,5,6,1
33,40316882,280085947,45800285,1000,1,13420926,36,3,4,7,6,1
60,48611527,76912962,40215637,0,0,147419139,120,6,7,9,5,0
23,87375902,396718290,181449413,2000,2,58022314,84,6,5,5,5,1
24,112314919,457464968,52793347,2000,0,64978929,48,6,4,5,5,1
58,32444777,84781759,56195446,2000,3,126402718,36,6,7,9,7,0
38,61300310,408706227,82590579,0,0,149594305,84,6,7,3,6,1
23,145927698,466612530,27887665,1600,0,113982428,120,3,5,4,7,1
23,54104585,469180800,101454568,3000,0,142742587,24,6,7,9,7,1
49,60696518,457078230,133006352,1000,4,188505303,120,3,7,2,5,1
44,128744803,273210506,157200098,0,4,171561189,120,6,5,9,7,1
58,26527876,178105658,142290848,2000,4,51956711,60,6,5,5,5,1
53,80399711,3636403,29527192,0,2,181824371,12,8,7,5,4,0
54,69350179,30456113,91213428,0,0,62966529,84,6,5,7,7,0
22,61156278,214419507,7717240,0,1,133814710,12,6,7,3,5,0
40,57140947,199663073,3559599,0,0,175569683,60,8,5,10,7,0
23,31878633,92356954,88026083,1600,2,126571994,48,6,5,5,5,0
65,60927357,197740014,50592098,0,1,162208246,24,6,4,10,5,0
47,25596812,87325032,136672158,2500,2,185832686,36,8,7,5,8,0
53,121525302,424395626,144848157,1600,0,193552727,120,6,5,4,5,1
27,71769613,149097438,179080744,1600,2,85073421,24,2,7,7,4,1
53,77707498,299282175,152136502,1000,4,198589800,60,10,5,3,5,1
25,136167296,251421530,9648824,2000,2,57977826,48,6,5,5,6,1
32,105547147,25941038,74324602,1600,3,95126382,48,10,7,5,6,1
38,21047683,471116859,54604670,2000,1,153337584,120,8,7,2,8,1
59,142612726,263612989,77226489,2500,0,194179945,60,10,4,5,8,1
45,50828780,162528821,32015131,2000,4,15323565,24,8,7,7,7,1
26,33989844,79063284,19540820,1600,0,189400130,12,8,4,2,7,0
55,119856663,169263317,104196908,2000,0,199741722,24,3,4,5,4,0
27,85062051,10255801,144076262,1600,0,182367991,84,6,7,4,5,0
43,76390173,181779077,140382180,0,2,26134922,48,6,4,3,7,1
32,52435400,265742963,90188864,0,1,168936550,48,6,7,5,8,0
37,91171293,435933122,104455797,3000,0,129753551,120,2,5,5,5,1
54,55669998,343687208,103265744,0,4,6857675,84,3,5,7,5,1
30,137205790,55791156,138314075,2500,3,196953361,120,8,5,5,8,1
27,47976582,73873162,9585035,0,0,34352126,84,6,4,5,7,0
37,134966169,214061683,141979221,1600,2,82380172,120,3,7,5,8,1
50,92722705,97853875,116440180,2000,3,10903138,60,6,7,4,7,1
24,127703457,13924888,39621742,0,1,65356227,24,6,5,4,8,0
41,112669979,402507440,9811770,2000,0,115823516,12,2,7,3,5,0
57,110570364,9761285,21705558,2000,0,186516358,24,6,5,10,8,0
40,62164955,415344802,104938268,1600,2,198121082,84,6,4,10,8,1
47,50406601,72051981,151681706,1600,1,87554863,48,3,4,7,4,0
24,47415209,487339205,66931457,0,2,88495857,24,6,7,2,5,0
40,131434915,301936955,75824782,1600,2,36266969,48,3,5,3,8,1
41,126655486,367491485,186829283,0,0,102179984,48,6,5,9,7,1
53,77274558,55241813,42602616,1000,0,188315798,36,6,5,7,5,0
28,37212599,431052036,20749884,3000,0,37252250,120,3,5,5,7,1
62,69692792,419596171,68682022,1600,0,56962282,12,6,7,5,5,0
54,100514649,326496365,149184423,2000,0,178806985,60,8,5,5,5,1
61,79072410,251137432,125215458,1600,0,127153969,84,6,7,3,8,1
60,121424604,360744586,83159087,0,2,69448911,12,6,7,5,8,1
39,149690966,2964107,192950506,1600,0,163485268,24,8,7,4,5,1
61,44847171,296220377,146999287,2000,1,26248007,84,8,5,3,6,1
22,79754606,423703067,12372284,0,0,172378516,84,8,4,7,7,1
32,76027907,178449943,148926288,2500,1,106010324,36,8,7,9,4,1
49,59584029,54144678,4807711,1600,2,152602213,48,6,7,5,7,0
46,45752417,210438624,130064664,0,0,106086360,12,3,5,3,5,0
44,28539975,363552224,42096567,1600,0,53023219,48,6,7,3,7,0
52,135325511,53650605,139288441,1000,2,129965481,48,10,5,5,7,1
51,74580330,103024280,61955913,0,1,35184271,36,3,7,5,5,0
63,84596417,73775923,174601261,2000,0,49824734,84,6,7,4,7,1
56,139202466,398473877,67382767,2500,2,112118505,84,8,5,10,4,1
28,120917762,31446311,123939171,2000,0,81046798,120,6,5,2,5,1
37,36965164,343293251,57185511,2500,1,150314445,12,6,4,7,8,0
47,93504595,183228460,183444309,3000,0,118796633,36,6,5,7,7,1
23,77492795,377895621,156199196,3000,1,79360349,120,3,7,2,5,1
22,123637439,482191709,48660575,0,2,68712337,48,6,7,7,7,1
33,114150231,57272649,189759342,1600,2,183082342,12,3,5,7,5,1
26,109752743,157192520,71431517,0,3,12816119,84,8,5,3,5,1
58,64270828,405062713,130372989,1600,1,139751052,48,10,5,7,6,1
53,124645284,133079193,148570646,3000,3,81420222,48,6,7,10,5,1
30,26810868,107560298,4580432,0,2,78584746,12,8,7,7,5,0
62,40751237,412688988,191793469,2000,1,132115970,60,6,4,9,7,1
56,63631025,493541182,68888261,2000,3,170840626,36,6,7,7,5,1
40,29984967,278440295,37955778,0,1,146260387,24,3,7,4,7,0
37,50549256,139024374,170141558,0,1,135671697,84,6,5,5,5,1
24,127919627,199282980,140579856,1600,0,101759477,48,8,7,7,5,1
41,143272699,85065163,17348654,0,2,96489800,84,2,5,10,6,1
45,59598306,380943639,23408916,1600,0,94839478,36,6,5,2,5,0
54,54387054,386737008,143038374,1600,0,33362255,36,6,7,5,7,1
45,56386044,437560496,14956651,1600,4,114103082,12,6,7,10,7,1
32,56103481,13301281,183435087,0,0,66515534,12,6,7,7,7,0
29,24670923,280990670,148308027,1600,0,125554439,120,6,7,5,6,1
57,140499125,107127717,67098441,0,3,109195373,12,8,7,5,4,1
59,47780758,170441507,72587755,2500,0,188285218,36,8,4,7,5,0
61,74600529,392477807,101299219,1000,0,89811375,12,6,5,7,6,0
41,21259294,96016826,72193882,2500,2,134557455,24,6,5,3,7,0
56,131534161,319170875,156693710,2000,0,120596498,36,2,7,5,4,1
46,115050454,327283095,194947388,2000,4,138456977,12,8,7,10,4,1
56,143078284,477046957,116904303,1000,0,57060097,120,6,7,10,5,1
46,121610012,387580464,89207465,0,2,55163544,48,6,7,5,4,1
50,60781846,401817573,44554828,1600,0,114137201,36,8,4,10,8,1
39,52223536,265800374,130686683,0,0,170567008,60,6,7,7,4,1
39,110703119,93390403,137115372,3000,0,145401693,60,6,7,3,8,1
23,67334660,212781682,137038121,1000,0,100342266,36,6,7,5,5,1
56,93607952,274744786,5397007,3500,1,54743414,36,8,4,5,8,1
37,20813471,339209625,179824420,2000,1,153072709,60,6,5,5,8,1
62,28045141,303854555,67621312,0,2,185618008,48,6,7,3,5,0
57,89597832,196988914,148833152,2000,0,46538962,48,10,7,7,8,1
54,93589314,132656553,151961381,0,1,160823275,48,10,5,7,8,1
25,117688882,84115421,130110995,0,0,38626878,24,8,7,10,4,1
54,37155491,346922693,78973304,0,1,180652680,84,3,5,9,6,0
35,86713800,322699337,121676843,3000,1,130199729,84,6,5,5,7,1
42,45278193,343686232,8039738,1600,1,40296950,120,6,4,10,4,1
41,32115495,186263726,152379158,2000,0,12070608,24,6,5,7,6,1
29,73364453,131203911,19917729,0,2,140450177,120,10,7,3,7,1
28,41233764,379860664,79350185,1600,2,123189855,48,10,5,10,5,1
24,48831657,386823697,20723757,1000,0,124206974,60,6,7,3,8,0
38,61282095,227808186,167414889,1000,0,99041074,24,3,5,9,5,1
54,53720492,305952042,110060478,0,1,124816412,12,3,7,10,4,0
33,31386868,186759832,138191024,1600,3,175278503,84,6,4,7,4,0
43,31689111,350973600,136516433,2000,0,190640308,24,3,7,10,5,1
43,45122423,417860798,168321246,0,2,72179051,60,6,7,10,5,1
51,26572694,344116638,26513880,3500,1,100135033,60,6,7,4,6,0
59,101439412,256291313,131945628,0,1,58240435,36,10,5,10,5,1
59,57352473,229328979,115026810,1600,3,85259143,60,6,7,5,6,1
29,56366975,321159825,6179424,0,4,160198268,120,6,5,5,7,1
48,63159778,339905445,40284581,0,0,87872881,48,10,7,9,8,1
48,106163515,279364721,53514308,3000,2,81369880,120,6,7,5,4,1
55,133182404,312471137,14511275,2500,2,170771665,60,3,7,10,7,1
42,118681301,48294341,70943961,2000,1,5248110,24,3,7,7,8,1
51,114578799,475882758,5440501,2500,2,171176674,24,8,5,4,7,1
54,82970854,395386531,110636698,2500,4,40374553,24,8,4,10,5,1
49,110194722,186963934,42300192,2000,1,58529835,60,10,7,7,5,1
54,91859107,281406305,57400621,2500,3,75513768,48,3,4,2,7,0
26,48112568,23662265,182094325,1000,2,176727185,84,8,5,10,5,0
40,47116487,20613906,100563369,1600,1,182192900,48,8,4,7,5,0
25,58530960,125399167,53802786,2000,2,133929818,36,6,7,3,6,0
56,138404347,344850821,119692351,0,2,90691358,12,2,5,10,7,1
38,91163929,426073873,40334286,2500,1,105644923,48,6,4,10,7,1
65,115407699,279592939,14879137,0,1,118178313,120,10,5,10,7,1
49,65052638,266066369,4181270,2500,2,191028206,84,10,7,4,7,1
51,73003050,201154766,190305809,1000,2,193987604,84,6,4,2,5,1
50,36323525,80798977,144922164,1000,0,170229920,24,6,5,5,5,0
27,42268344,59177050,159989629,0,0,118827097,36,6,5,10,6,0
56,127556352,380339880,196183545,2500,1,81193222,84,8,7,7,5,1
62,96029022,463751775,186325740,0,1,49904583,48,6,7,5,5,1
58,63879220,229141608,147382639,2000,0,109218892,48,8,4,3,5,1
45,124370657,329722829,138797413,2000,2,72398024,120,3,7,4,7,1
50,52047587,457228825,67369999,0,3,19185177,12,8,7,5,7,1
52,146884250,45056816,20803450,3500,1,97863047,12,6,7,2,5,0
56,64826289,385240726,114744509,0,3,116361805,12,6,4,7,6,1
54,63850424,308408442,115250659,2000,2,124206453,48,8,5,7,5,1
42,60548547,299318589,190447457,1600,0,19393706,84,3,5,9,5,1
53,35874497,146270214,88514161,0,2,99206485,120,6,7,7,5,0
44,34447829,341946677,138161524,0,1,132903044,48,6,4,5,7,1
54,104253654,397398877,114994125,2000,3,192407493,24,6,5,5,7,1
24,133765345,56429082,35352045,3000,0,9883932,60,6,4,5,7,1
39,122767666,266760715,118412861,0,0,136875048,12,8,4,7,6,1
46,38343987,50632590,108023341,0,0,17155794,24,8,5,9,5,1
63,90925675,436287009,98781198,3500,0,35974480,24,6,7,10,7,1
52,33726900,253818361,102684586,0,0,38795054,84,6,5,5,5,1
24,25888303,403982844,32797594,1600,0,69130125,36,6,7,10,4,0
61,105330161,184042818,92695546,1600,1,167103311,24,8,7,3,6,0
45,89569803,62539113,121130654,0,1,171966264,12,6,7,7,5,0
53,30663079,20749652,97889839,2000,0,78115622,60,3,7,3,8,0
43,24542102,140754810,97737239,3000,2,89104051,120,3,4,10,8,0
44,148668333,122116850,15503541,1600,0,47320988,24,6,5,5,5,1
23,23902773,280175987,38154830,2000,0,89340189,120,8,7,3,8,0
48,77788672,10869419,64194538,2000,2,58592714,48,3,7,7,4,1
63,85600473,260285272,83869398,1600,0,39102115,48,6,7,5,8,1
23,35246419,195885871,118787488,0,1,35901273,24,6,7,4,7,0
47,41978031,288561134,172669020,2000,0,156251194,12,2,7,7,7,1
38,65734650,351208764,31832947,1000,3,27804546,84,8,4,2,5,1
61,119017863,317045972,3017606,0,2,125126721,84,6,7,7,6,1
54,85920715,492322184,89847426,3000,0,37658992,60,6,7,3,5,1
30,102927243,69132671,86420579,2000,1,168378686,60,10,4,3,4,1
64,148072692,214868504,110380243,3500,0,58521078,12,6,5,5,7,1
60,119840706,212415368,166644354,0,0,13754229,48,2,7,7,7,1
50,76466994,208526601,160472110,2500,0,93154265,48,6,7,7,5,1
63,78037449,331899196,20008656,2000,2,199960436,84,3,5,2,8,0
47,100440370,244914030,186799073,3500,0,163561734,120,8,7,3,8,1
56,106497477,258716279,22082878,3000,2,116201186,84,6,5,5,7,1
46,85092420,216177996,126914101,3500,3,41940567,36,2,4,7,8,1
45,103831958,495849730,134481258,3500,1,27913482,24,8,7,10,6,1
34,23059224,463780674,135975497,0,3,168517355,84,6,5,4,8,1
28,75850972,153862094,53070234,2000,3,158602944,24,8,5,2,7,0
57,56261949,55796962,66069018,0,2,95126770,84,8,7,10,8,1
41,36792677,419882362,109735375,2000,1,87174888,120,6,7,3,6,1
22,32941046,498585125,39917499,3500,2,150991193,48,6,7,7,5,0
29,98414981,146304447,4062093,0,3,109527341,24,6,5,3,5,0
37,88068071,178892462,112428890,1600,2,83813004,12,6,5,5,5,0
35,52965935,470816590,93055714,2000,0,54085566,60,8,5,3,5,1
33,81223507,355564759,131346241,0,2,28899883,84,6,5,9,7,1
44,83990200,147819165,29340115,0,4,120984726,36,6,7,4,5,0
36,45351167,290523245,168184978,0,1,166079525,12,8,7,9,5,1
49,104772098,472114789,29244297,0,2,150505706,12,3,7,7,5,1
55,121519516,405906553,178268720,2000,1,140782098,12,6,7,2,7,1
23,122890260,370916356,89904234,1600,0,186126161,24,10,7,9,5,1
53,98321077,368498155,109961051,0,0,81930764,60,6,5,10,4,1
44,86513015,89010162,179316267,3500,0,31757425,120,6,5,5,6,1
43,27930928,412340619,59982609,2000,2,24880075,120,6,7,9,6,1
46,57418068,138059316,36365399,1600,1,191227354,36,8,7,10,8,0
43,32125288,465183328,89150324,0,0,119848022,48,6,7,5,8,1
43,145297010,182319995,48873445,2000,0,163104682,12,3,7,3,5,1
63,37560419,428830198,105568782,1000,0,109434171,12,3,7,10,5,0
27,39730803,133116747,55051572,2000,2,82706407,120,8,5,3,6,0
36,135644960,257263468,172897907,2000,0,44052581,12,6,4,5,6,1
64,142710676,53442647,121464918,0,0,171999627,48,8,4,7,7,1
58,119557775,330059451,48133,3000,3,17385471,120,6,5,5,7,1
54,20702640,418039637,161094746,1600,1,180545410,84,6,7,5,7,0
29,20175015,359223640,66042467,1000,2,44977491,24,10,7,9,7,0
65,69153100,261629256,64041596,3500,1,6858553,24,3,7,4,5,1
65,38641398,22557939,76612562,1600,0,25259937,60,6,4,5,4,0
26,22390198,466720503,126052505,2000,0,177284198,24,6,7,4,7,0
60,80328669,352744774,88412142,2000,1,19372899,24,3,7,3,5,1
25,142598046,372932119,125727109,0,1,74271914,36,6,7,9,5,1
27,62096544,397340287,29356144,3500,1,53811731,36,2,5,3,5,1
53,105948288,373871712,194032892,1600,2,12186657,120,10,5,5,5,1
51,104790595,220558082,145921257,1000,1,108636036,24,6,5,5,7,1
56,52640413,366810914,50041421,3000,0,199674917,36,10,5,9,6,1
